,PC1,PC2
context_adherence,-0.24885217595347497,0.1131549457611567
completeness,-0.1953308074906433,0.18572871926262172
correctness,-0.04075632682990717,0.002911404101423274
answer_relevancy,-0.19188535562149717,0.17200388745924888
readability_LLM_eval_Trott,-0.020755220662350516,-0.2027229852539708
BLEU_Ex,-0.11746475079007457,0.1838704133067856
ROUGE_Ex,-0.2827477473561437,0.18848069809293483
BERTScore_Ex,-0.31894202669810656,0.13600660409322815
STS_Ex,-0.2739765726271065,0.15033370581109806
BLEU_DA1,-0.1920059696932526,-0.17664992950637945
ROUGE_DA1,-0.2761524713939759,-0.16923307635790863
BERTScore_DA1,-0.301255610361297,-0.14232647397471998
STS_DA1,-0.3075585328239567,-0.030340551592204598
BLEU_DA2,-0.18103130573190176,-0.25477234007894634
ROUGE_DA2,-0.2615790598812697,-0.24851131957741063
BERTScore_DA2,-0.2862897258195786,-0.22361130539679297
STS_DA2,-0.30229262704897536,-0.10625418420808723
Readability,0.05428786777243775,-0.38353733005947577
ReadabilityGrade,0.09725553796676312,-0.35166773679389085
LexicalDiversity,-0.024858739826387474,0.3087471614239794
SentenceLength,-0.06662707713446439,0.3694617324443071
