Question,Designed_Answer_1,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Sure, you can tell Alexa to manage or delete any calendar event for you.",100,50,98.0,,100,2.3681007563963874,0.3529411764705882,0.8927752375602722,91.11,5,1.0,14
Do I have choice or control options for my contacts' information?,"Once you have registered for Alexa Communication on your Alexa App, your contacts are auto-updated from your tablet or mobile phone. You can disable contact import to delete previously imported contacts from your device.",85,20,80.0,80.0,93,6.069953561441972,0.4615384615384615,0.9245908856391908,54.22,12,0.8235294117647058,34
Can I hide my email address?,"We collect your email for Amazon services. However, You can edit or update your email address from your account.",60,20,85.0,25.0,95,2.5004973835805906,0.2978723404255319,0.8445063233375549,70.29,6,0.8421052631578947,19
I want to change my name.,Visit the Alexa Profile Settings on your Alexa App to edit information on your name.,30,70,90.0,50.0,90,1.3815720096106128,0.1176470588235294,0.8508439660072327,64.71,7,0.8,15
I want to edit my phone number.,If you have provided a phone number you can edit this in your Amazon Account Settings.,80,70,100.0,80.0,95,1.0577547987404383,0.2727272727272727,0.860781192779541,72.16,7,0.9375,16
Can you delete information about my time zone?,Your time zone can be a result of your current location settings and is used to personalize your experience. You can change your device's location at any time by selecting your device's location on your Alexa App.,25,40,100.0,40.0,90,0.4530781693692298,0.2831858407079646,0.8566534519195557,61.16,9,0.7567567567567568,37
Can you delete my voice recordings?,"You can delete your voice recordings -one by one, by date range, with an Alexa-enabled device, using attributed voice ID, or all at once by visiting Alexa privacy in your settings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests.",85,50,100.0,90.0,85,0.3992011351308063,0.2758620689655172,0.881321907043457,62.01,15,0.7884615384615384,52
Are you sharing my age with others?,"By default, we do not share your information with anyone. However, you can grant sharing permissions through your Settings under Alexa privacy.",70,50,100.0,,95,2.86414849848824,0.3838383838383838,0.8953402638435364,60.31,9,0.9545454545454546,22
Who can access information about my appointments?,"Calendars are no longer shared between adults in your Amazon households. You can ask Alexa to switch to your account to check your calendar. However, content from your calendar might be available to anyone using your Alexa devices.",100,75,,80.0,92,16.324054212111545,0.5862068965517242,0.9179270267486572,75.5,6,0.7894736842105263,38
Does the company share user's contacts' information with a third party?,We are not selling your personal information to others but might share it under certain circumstances such as when you're enabling third-party skills through our Alexa services. You will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.,80,60,,60.0,90,4.548426023233209,0.328125,0.8499810099601746,52.02,12,0.8181818181818182,55
