Question,RAG+MultiRAIN_Readability+Correctness,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.",35.0,70,,95.0,95,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
Do I have choice or control options for my contacts' information?," Yes, you can manage your contacts in the \""Your Account\"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app or website.",50.0,70,50.0,90.0,95,4.057384430657231,0.368421052631579,0.8839349150657654,82.34,5,0.6976744186046512,43
Can I hide my email address?,"You can manage your email address and other contact information in the \""Contact Information\"" section of the \""Your Account\"" page on the Amazon website. You can also choose to use an alias or a phone number instead of your email address for certain communications. However, you cannot completely hide your email address as it is required for certain Amazon services, such as placing orders or managing your account.",85.0,80,83.0,90.0,92,3.1636674256639155,0.3333333333333333,0.8719608783721924,48.43,11,0.75,68
I want to change my name.,"To change the name associated with your account, you can update your account information in the \""Your Account\"" section of the website. Click here <#GUID-9DFA0CFF-9E83-4207-8EE5-5B1B8CFC3F4A__SECTION_8E8555298F744144B56A48C866F09067> for instructions on how to do this.",85.0,80,80.0,65.0,90,2.656514328220899,0.2933333333333333,0.7829405665397644,55.24,9,0.90625,32
I want to edit my phone number.,"To edit your phone number, you can go to the \""Your Account\"" section of the Amazon website and click on the \""Contact Information\"" tab. From there, you can update your phone number and other contact details.",50.0,100,70.0,80.0,100,4.003759215740339,0.40625,0.8756559491157532,70.13,8,0.8055555555555556,36
Can you delete information about my time zone?," I'm unable to directly delete information about your time zone for you. However, you can manage your content and devices associated with your account to delete other information. For example, you can delete all voice recordings associated with your account for each of your Alexa-enabled devices and apps by visiting Manage Your Content and Devices <https://www.amazon.com/-/de/mycd>.",,75,95.0,,90,5.502380275556803,0.2773722627737225,0.8612725138664246,35.57,12,0.7142857142857143,56
Can you delete my voice recordings?,"Yes, you can review and delete your voice recordings by visiting Settings > Alexa Privacy > Manage Your Alexa Data in the Alexa app or https://www.amazon.com/alexaprivacysettings. From there, you can delete voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically.",95.0,50,100.0,70.0,90,2.3232687173443947,0.3282051282051282,0.9038527607917786,59.33,10,0.7301587301587301,63
Are you sharing my age with others?,"No, Amazon does not share your age with others unless you give us permission or when required by law.",,70,95.0,85.0,100,0.3782129389055376,0.2083333333333333,0.8432317972183228,77.57,7,1.0,19
Who can access information about my appointments?,"We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.",45.0,40,90.0,50.0,90,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43
Does the company share user's contacts' information with a third party?," Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third party. Additionally, Amazon employs other companies and individuals to perform functions on their behalf, such as fulfilling orders, delivering packages, sending postal mail and email, analyzing data, providing marketing assistance, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.",95.0,65,85.0,60.0,90,2.6908502911164165,0.3431952662721893,0.8518158197402954,21.94,16,0.8,95
