Question,Rag_Rain_comp,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Can I delete my old calendar history?,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.",35.0,65,50.0,85.0,95,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48
Do I have choice or control options for my contacts' information?," Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
",20.0,65,90.0,90.0,100,3.665944994887061,0.3733333333333333,0.8869864344596863,82.95,5,0.7317073170731707,41
Can I hide my email address?," You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it completely as it is required for certain features and services, such as receiving order confirmations and communication from Amazon.
",70.0,75,80.0,82.0,90,10.369816700638207,0.4,0.8923332095146179,41.7,13,0.8809523809523809,42
I want to change my name.," To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name. Keep in mind that changing your name may affect your voice ID, and you may need to retrain Alexa to recognize your new name.
",50.0,75,67.0,40.0,95,2.066182288760249,0.2448979591836734,0.8570531606674194,72.66,8,0.7258064516129032,62
I want to edit my phone number.," To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
",85.0,95,60.0,70.0,90,4.380833441723301,0.40625,0.8842415809631348,70.13,8,0.8055555555555556,36
Can you delete information about my time zone?," I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete that information. For example, you can delete your location information in the Alexa app under Settings > Location.
",65.0,40,90.0,75.0,90,1.2581149620896306,0.3448275862068966,0.8750604391098022,42.21,12,0.8095238095238095,42
Can you delete my voice recordings?,"Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.",90.0,50,90.0,60.0,90,2.1831792851719527,0.3585858585858585,0.8921845555305481,64.34,10,0.704225352112676,71
Are you sharing my age with others?," Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
",40.0,50,95.0,85.0,85,4.402591491194746,0.2644628099173554,0.8385177254676819,40.69,10,0.8636363636363636,44
Who can access information about my appointments?," We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
",30.0,0,70.0,67.0,85,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43
Does the company share user's contacts' information with a third party?," Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third-party sellers. Additionally, Amazon employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
",100.0,85,90.0,30.0,85,2.871225407782635,0.3742690058479532,0.8605861067771912,26.81,13,0.7473684210526316,95
Does it save my email contacts and sell it to 3rd parties?," Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties. For instance, when you order products from third-party sellers through Amazon's stores, your personal information is shared with those sellers to facilitate the transaction. Additionally, Amazon may share your personal information with third-party service providers who perform services on Amazon's behalf. These service providers are required to protect your personal information and are not permitted to use it for any other purpose.
",40.0,40,85.0,45.0,85,4.9739036667724585,0.2441860465116278,0.8499940633773804,36.08,12,0.6813186813186813,91
Do you share my location with other people?," Amazon Europe does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in the Alexa app to order a ride, we will share your location with the ride service provider to help them pick you up. We also share location information with third parties if it is aggregated or de-identified so that it cannot reasonably be used to identify you.
",75.0,75,85.0,87.0,90,2.7199532983663346,0.3058823529411765,0.8502206206321716,51.82,14,0.7228915662650602,83
Are you sharing my name?," Amazon shares customers' personal information only as described in their Privacy Notice. This includes sharing with third parties for transactions involving their services, products, applications, or skills provided on or through Amazon Services. For example, if you order products from third-party sellers through Amazon, your name would be shared with the seller for fulfillment purposes.
",60.0,60,100.0,,85,0.5818796481195168,0.24,0.8401127457618713,44.44,11,0.8909090909090909,55
Who has access to my phone number?," Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
",60.0,50,90.0,,90,1.409928902125236,0.2434782608695652,0.8434626460075378,52.9,10,0.7397260273972602,73
Who has access to my time zone?," Your time zone is a piece of information that can be found in the ""Your Account"" section of the website. It's used to provide you with accurate information about the status of your orders and deliveries, as well as to personalize other features and services. Access to this information is controlled by Amazon and any third parties that Amazon hires to provide services on its behalf. These third parties are required to protect your information in accordance with Amazon's data protection policies and are not allowed to use it for any other purpose.
",85.0,75,,85.0,95,2.014534333407948,0.3855421686746988,0.8465443849563599,56.29,11,0.6989247311827957,93
Who can access my voice recordings?," Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa privacy settings in the Alexa app or on the Alexa Privacy website. Amazon employees do have access to anonymized voice recordings to improve Alexa's speech recognition and natural language understanding. However, these recordings are not linked to any personally identifiable information.
",90.0,75,93.0,85.0,90,4.235319003006122,0.4761904761904762,0.869966983795166,43.02,13,0.7966101694915254,59
What does the privacy policy say in regards to saving my name?," According to the privacy policy, your personal information is kept for as long as it is required in order to fulfill the purposes described in the policy, or as otherwise communicated to you. It's used to enable your continued use of Amazon Services and to improve the relevancy of products and content recommended to you.
",95.0,60,70.0,40.0,90,0.8504439985217588,0.2485207100591715,0.8298605680465698,35.1,10,0.6909090909090909,55
Why do you know my age?," We don't have access to your age unless you have provided it to us. We may ask for your age to ensure that certain products or services are appropriate for you. For example, some products or services have age restrictions.
",95.0,75,90.0,85.0,90,2.923597632099356,0.3255813953488372,0.859279453754425,74.9,6,0.7,40
Why do you know my calendar appointments?," We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
",85.0,75,90.0,85.0,90,2.3294227591923544,0.2258064516129032,0.8411020636558533,67.08,7,0.7619047619047619,42
Why did you add all my contacts' phone numbers to my contact book?," We do not add your contacts' phone numbers to your contact book without your consent. However, if you have given us permission to access your contacts, we may suggest phone numbers to you as potential matches for voice ID or for contact suggestions. We do not store your contacts' phone numbers unless you add them to your own contact book.
",,50,85.0,85.0,90,0.8915972630798126,0.2485875706214689,0.8406997919082642,68.1,9,0.6333333333333333,60
Why do you know my email address?," Your email address is used to communicate with you, send you updates about your orders, and to send you promotional emails if you have subscribed to our newsletter.
",90.0,15,100.0,80.0,95,2.0234373374008245,0.282051282051282,0.8295326232910156,59.98,9,0.8214285714285714,28
For what purpose is my name collected?," Your name is collected to provide, troubleshoot, and improve Amazon Services. It's used to identify you and to communicate with you about orders, products, and services. It's also used to personalize your experience with Amazon Services, such as voice recognition for Alexa.
",85.0,80,85.0,95.0,90,5.378152324274614,0.3833333333333333,0.8815739154815674,57.27,11,0.7619047619047619,42
What do you need my phone number for?," We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
",40.0,60,92.0,100.0,95,0.6523154218319447,0.2666666666666666,0.837919294834137,55.58,11,0.7083333333333334,48
Do you need to know my time zone?," Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
",80.0,75,100.0,100.0,95,3.0278098260720054,0.2702702702702703,0.8631171584129333,55.74,10,0.8387096774193549,31
Why do you record my voice?," We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
",,45,90.0,90.0,85,3.5380823243808406,0.3723404255319149,0.8719658851623535,64.2,8,0.6612903225806451,62
Can the assistant pull information from my phone's calendar?," Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. You can also ask Alexa to check your schedule for the day, find upcoming events, or set reminders based on your calendar.
",85.0,100,100.0,,95,3.679073892694009,0.438095238095238,0.894620954990387,71.14,7,0.6862745098039216,51
Does the assistant have access to my contacts?," No, by default, Alexa does not access your contacts. However, you can give Alexa permission to access your contacts to make calls or send messages on your behalf. You can manage these permissions in the Alexa app.
",85.0,75,100.0,97.0,90,1.9702670915851277,0.2876712328767123,0.8820471167564392,75.91,8,0.8108108108108109,37
What's my address?," I cannot directly access or provide your address. However, you can find it in the ""Your Account"" section of Amazon's website.
",70.0,85,100.0,60.0,90,2.3847124361709544,0.2413793103448276,0.8140472173690796,60.82,8,1.0,21
What is my name?," I'm unable to access or provide your name directly. However, you can find and manage your personal information, including your name, in the ""Your Account"" section of the Amazon website.
",90.0,65,95.0,57.0,90,1.640442611912737,0.2268041237113402,0.8565307259559631,56.25,10,0.9,30
Do you know my phone number?," I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
",85.0,80,95.0,80.0,95,3.879506144619563,0.3269230769230769,0.8497810363769531,63.02,7,0.74,50
How do you process my audio recordings?," When you speak to Alexa, a recording of what you asked Alexa is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits. We also use your recordings to improve Alexa's speech recognition and natural language understanding systems using machine learning. This training relies in part on supervised machine learning, where humans review an extremely small sample of requests to help Alexa understand the correct interpretation of a request and provide the appropriate response in the future.
",50.0,60,100.0,95.0,85,1.2710920174412363,0.2857142857142857,0.8431186676025391,51.72,12,0.6936936936936937,111
Does the assistant turn on my mic without my knowledge?," No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or you press the action button. You can also turn off the microphone manually by pressing the microphone off button.
",50.0,60,95.0,100.0,95,2.6596328679825785,0.3119266055045871,0.8467326760292053,72.36,8,0.6825396825396826,63
Is my calendar stored on the device?," By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Outlook Calendar, so that Alexa can provide you with calendar information, such as upcoming appointments and events.
",85.0,85,100.0,,90,4.45967267302648,0.3835616438356165,0.8987262845039368,46.1,12,0.74,50
Do they keep my contacts' information?," Yes, Amazon keeps your transaction history and addresses you have shipped orders to. This information is used to improve the relevancy of products and content they recommend to you. However, they do not share your contacts' information with third parties unless it is necessary to provide the service or required by law.
",,30,100.0,80.0,90,0.4074103668783164,0.1625,0.828614354133606,53.92,11,0.8461538461538461,52
How long will my location history be kept?," We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we may keep your location history to enable location-based services, to improve the relevancy of products and content we recommend, or to provide you with location-specific information.
",40.0,85,80.0,75.0,90,1.7589379361978317,0.3149606299212598,0.8362773060798645,24.61,18,0.7627118644067796,59
For how long would my name be stored in the database?," We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history so that you can review past purchases and what addresses you have shipped orders to, and to improve the relevancy of products and content we recommend.
",90.0,70,90.0,40.0,90,44.920984586736026,0.6393442622950819,0.9245262742042542,26.98,-1,0.8028169014084507,71
Is the information on my time zone stored?," Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
",50.0,60,70.0,100.0,95,1.2812155539037435,0.3260869565217391,0.8417648077011108,42.21,12,0.7317073170731707,41
Do you store my voice recordings locally or on a server?," Alexa is designed to process your requests locally on your device, but for certain features, Alexa sends audio to the cloud. For example, if you make a call or send a message or announcement via Alexa, or if you enable Alexa Emergency Assist, Alexa will send audio to the cloud. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your request. You can review and delete those transcripts in your Voice History.
",65.0,60,95.0,90.0,93,3.896707908523175,0.3977900552486187,0.8865283131599426,76.76,9,0.6835443037974683,79
