Question	Document ID	Title	RAG+RAIN_Flesh-Kincaid-Readability_BERT_FLESCH_READABILITY
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app or website.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email preferences in the ""Your Account"" section of the website. You can choose to stop receiving certain types of emails, such as marketing emails, or you can unsubscribe from all emails. However, you cannot hide your email address from us, as we need it to communicate with you about your orders and other important information related to your account.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change your name, you need to update your account information. You can do this by visiting the ""Your Account"" section of the Amazon website and clicking on the ""Edit"" button next to your name. Once you've made the change, it may take some time for Alexa to update her records.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and look for the ""Contact Information"" section. From there, you should be able to edit your phone number.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to directly delete information about your time zone. However, you can manage your time zone settings in the Alexa app or on your device. If you delete your voice recordings, Alexa will no longer be able to use that information to determine your time zone based on your location.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" Amazon does not share your age with others unless it is necessary to provide you with a service or to comply with the law. For example, if you purchase age-restricted items, we may need to share your age with the seller to confirm that you are old enough to purchase the item.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more details, you can check the sources I've provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information only as described in their privacy notice. For transactions involving third parties, Amazon makes available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. In such cases, Amazon shares customers' personal information related to those transactions with that third party. Amazon also employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon does not sell your email contacts. However, Amazon Services may include third-party advertising and links to other websites and apps. Third-party advertising partners may collect information about you when you interact with their content, advertising, and services. This information may be used to serve you with more useful and relevant ads. You can learn more about how to opt-out of interest-based advertising by going to the Advertising Preferences page.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" We do not share your precise location with others unless we have your consent or are required to do so by law. We may share your approximate location with third parties to provide and improve location-based services. For example, we might share that you are in a city or a general area, but not your exact street address.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares your personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. If your name is shared with a third party, you will receive notice and have an opportunity to choose not to share the information.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that you can manage in the ""Your Account"" section of the Amazon website. It is used to provide you with accurate information about the status of your orders and the availability of products and services. Access to this information is limited to authorized Amazon employees, contractors, and third-party service providers who need it to provide services to Amazon or to you.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by anyone who has access to that account. You can review and delete your voice recordings at any time. Additionally, if you have enabled deletion by voice, you can delete your voice recordings by asking Alexa to do so.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" The privacy policy states that personal information, including your name, is kept for as long as it is required to fulfill the purposes described in the policy, or as required by law. It's used to enable continued use of Amazon Services and to improve the relevancy of products and content recommended to you.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and share your voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with control over your voice recordings, including the ability to review, delete, and disable the use of your voice recordings for these purposes. You can manage these settings in the Alexa app.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We do not collect or store your age as a standalone data point. However, we may infer age based on other information, such as your date of birth or the content that you purchase or view.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We don't have access to your calendar appointments unless you give us permission to access them. You can allow Alexa to access your calendar to help manage your schedule, set reminders, and answer questions about your upcoming appointments. For example, you can ask Alexa to add an event to your calendar, or ask Alexa to tell you what's on your schedule for the day.
"
Why is all my contacts' personal information needed?	privacy-Notice-2	Privacy Notice	" We collect and use the contact information you provide when you consent to let us sync your contacts with Amazon Services. This helps us provide you with a better experience when you use our services, such as making it easier to share content or invite friends to use features. We don't sell these contacts to third parties and we use them only as described in our Privacy Notice.
"
