Question	Document ID	Title	RAG+RAIN_correctness_readability_CORRECTNESS
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app or website.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address and other contact information in the ""Your Account"" section of the website. If you don't want to receive promotional emails from Amazon, you can opt out of receiving them. However, you cannot hide your email address completely as it is required for certain functions, such as making purchases or receiving order confirmations.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To update your personal information, including your name, go to the ""Your Account"" section of the Amazon website. You can find a link to this section in Source 1. Once you're there, you should be able to update your personal information.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to delete specific pieces of information, such as your time zone, for you. However, you can manage your content and devices associated with your account at Manage Your Content and Devices <https://www.amazon.com/-/de/mycd> to see what information is being stored and delete it if desired.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" Amazon does not share your age with third parties unless you give us permission or when the information is required by law.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information only as described in their privacy notice. For transactions involving third parties, Amazon makes available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. In such cases, Amazon shares customers' personal information related to those transactions with that third party. Amazon also employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon does not sell your email contacts. However, Amazon Services may include third-party advertising and links to other websites and apps. Third party advertising partners may collect information about you when you interact with their content, advertising, and services. For more information about third-party advertising at Amazon Europe, please read our Interest-Based Ads notice <https://www.amazon.de/-/en/gp/help/customer/display.html?nodeId=G64JFZVFDY66XG9K>.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" We do not share your precise location with third parties without your consent, except as necessary to complete any transaction or provide any service you have requested or authorized. For example, we may share your device's IP address with third parties to provide location-based services, such as weather or traffic information. We may also share your location with third parties if it is necessary to provide emergency services.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares customers' personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, you will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number is accessible to Amazon for the purpose of providing you with services related to your account. It may also be shared with third parties as described in the privacy policy, such as when you make a purchase from a third-party seller through Amazon or use a third-party skill on Alexa. These third parties are required to use the information only for the purpose of providing the service to you.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that is associated with your account. Access to this information is controlled by Amazon's privacy policy and data protection practices. According to the sources provided, Amazon participates in the EU-US and Swiss-US Data Privacy Frameworks, which means that they have committed to adhering to certain privacy principles regarding the collection, use, and retention of personal information. This includes your time zone. Amazon may also provide access to this information to third parties to perform services on their behalf, but these third parties must also comply with Amazon's Data Privacy Framework obligations.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa app or the Alexa Privacy Settings page. Amazon employees do have access to voice recordings for the purpose of improving Alexa's speech recognition and natural language understanding. However, access to voice recordings is limited to a small number of trusted Amazon employees who are required to adhere to strict internal policies to protect customer privacy.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" According to the privacy policy, your personal information is kept to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in the policy. Your name is likely saved to identify you and to provide you with a personalized experience.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and share your voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with controls to manage your voice recordings, including the ability to review, delete, and disable the collection and use of your voice recordings. You can manage these settings in the Alexa app under Settings > Alexa Privacy > Manage Your Alexa Data.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We don't have access to your age. The information we collect includes your name, address, payment options, profile information, and purchase history, but it does not include your age.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
"
