Question	Document ID	Title	RAG+MultiRAIN_correctness_readability_MULTIRAIN
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app or website.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address and other contact information in the ""Contact Information"" section of the ""Your Account"" page on the Amazon website. You can also choose to use an alias or a phone number instead of your email address for certain communications. However, you cannot completely hide your email address as it is required for certain Amazon services, such as placing orders or managing your account.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change the name associated with your account, you can update your account information in the ""Your Account"" section of the website. Click here <#GUID-9DFA0CFF-9E83-4207-8EE5-5B1B8CFC3F4A__SECTION_8E8555298F744144B56A48C866F09067> for instructions on how to do this.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to directly delete information about your time zone for you. However, you can manage your content and devices associated with your account to delete other information. For example, you can delete all voice recordings associated with your account for each of your Alexa-enabled devices and apps by visiting Manage Your Content and Devices <https://www.amazon.com/-/de/mycd>.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can review and delete your voice recordings by visiting Settings > Alexa Privacy > Manage Your Alexa Data in the Alexa app or https://www.amazon.com/alexaprivacysettings. From there, you can delete voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" No, Amazon does not share your age with others unless you give us permission or when required by law.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third party. Additionally, Amazon employs other companies and individuals to perform functions on their behalf, such as fulfilling orders, delivering packages, sending postal mail and email, analyzing data, providing marketing assistance, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not sell your email contacts. However, Amazon Services may include third-party advertising and links to other websites and apps. Third-party advertising partners may collect information about you when you interact with their content, advertising, and services. This information may be used to serve you with more useful and relevant ads. You can learn more about how to opt-out of interest-based advertising by going to the Advertising Preferences page.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" Amazon does not share your precise location with third parties without your consent, except as necessary to complete any transaction or provide any service you have requested or authorized. For example, we may share your device's IP address with third parties to determine your approximate location, but we do not share your precise location. We may also share your location with third parties if it is necessary to comply with the law, or to protect the rights, property, or safety of Amazon or its users.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares customers' personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, you will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number can be accessed by Amazon for the purpose of providing you with services and improving your experience. It may also be shared with third parties for the purpose of fulfilling orders or providing services on our behalf. For example, if you order a product from a third-party seller, they may need your phone number to contact you about the delivery. However, they are not permitted to use your phone number for any other purpose.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" We don't have access to your time zone information without your consent. If you've granted Alexa permission to access your calendar, it may be able to determine your time zone based on your calendar events.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa Privacy settings in the Alexa app or the Manage Your Content and Devices page on Amazon.com. Amazon employees do have access to voice recordings for the purpose of improving Alexa's speech recognition and other services, but they are not allowed to listen to or retain your voice recordings without your consent.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" The privacy policy states that your personal information is kept to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in the policy, or as otherwise communicated to you. Your transaction history, including your name, is retained so that you can review past purchases and what addresses you have shipped orders to.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and protect your personal information, including voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with control over your voice recordings, including the ability to review, delete, and manage them. For example, you can manage the use of your voice recordings to improve our services and develop new features by visiting Settings > Alexa Privacy > Manage Your Alexa Data in the Alexa app.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We don't have access to your age. The information we collect includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. We use this information to provide and continually improve our products and services.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We don't access or store your calendar without your permission. If you choose to allow Alexa to access your calendar, we use this information to help you manage your schedule, set reminders, and answer questions about your appointments.
"
