Question	Document ID	Title	RAG+RAIN_honesty_comprehensibility_COMPREHENSIBILITY
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it completely as it is required for certain features and services, such as receiving order confirmations and communication from Amazon.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name. Keep in mind that changing your name may affect your voice ID, and you may need to retrain Alexa to recognize your new name.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete that information. For example, you can delete your location information in the Alexa app under Settings > Location.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third-party sellers. Additionally, Amazon employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties. For instance, when you order products from third-party sellers through Amazon's stores, your personal information is shared with those sellers to facilitate the transaction. Additionally, Amazon may share your personal information with third-party service providers who perform services on Amazon's behalf. These service providers are required to protect your personal information and are not permitted to use it for any other purpose.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in the Alexa app to order a ride, we will share your location with the ride service provider to help them pick you up. We also share location information with third parties if it is aggregated or de-identified so that it cannot reasonably be used to identify you.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information only as described in their Privacy Notice. This includes sharing with third parties for transactions involving their services, products, applications, or skills provided on or through Amazon Services. For example, if you order products from third-party sellers through Amazon, your name would be shared with the seller for fulfillment purposes.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that can be found in the ""Your Account"" section of the website. It's used to provide you with accurate information about the status of your orders and deliveries, as well as to personalize other features and services. Access to this information is controlled by Amazon and any third parties that Amazon hires to provide services on its behalf. These third parties are required to protect your information in accordance with Amazon's data protection policies and are not allowed to use it for any other purpose.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa privacy settings in the Alexa app or on the Alexa Privacy website. Amazon employees do have access to anonymized voice recordings to improve Alexa's speech recognition and natural language understanding. However, these recordings are not linked to any personally identifiable information.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" According to the privacy policy, your personal information is kept for as long as it is required in order to fulfill the purposes described in the policy, or as otherwise communicated to you. It's used to enable your continued use of Amazon Services and to improve the relevancy of products and content recommended to you.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and share your voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with control over your voice recordings, including the ability to review, delete, and disable the collection and use of your voice recordings. You can manage your voice recording settings in the Alexa app.
"
