Question	Answer_Alexa	Excerpts	Designed_Answer_1	Designed_Answer_2	Designed_Answer_Non_Proactive_1	Designed_Answer_Non_Proactive_2	Designed_Answer_Non_Proactive_3
What is my name?	"I am not sure who's speaking but you're in X account. To teach me to recognize your voice just say ""Learn my voice"""	We receive and store any information you provide in relation to Amazon Services. Click here to see examples of what we collect. As a result of those actions, you might supply us with such information as: identifying information such as your name. You can choose not to provide certain information, but then you might not be able to take advantage of many of our Amazon Services.	It seems you haven't created a voice ID which would allow me to call you by your name. You can manage your personal information by visiting the Alexa Profile Settings online or in your Alexa App.	I will not disclose your name as part of my privacy policy. To see if you have already provided your name to Amazon Services, please refer to your personal profile under your account.	If you have provided Amazon Services with your name, you can find this information on your profile	It seems you haven't created a voice ID, which would allow me to call you by your name. To manage your personal information and add a voice ID,  visit the Alexa profile settings online or in your Alexa App.	Sorry. I don't know your name, but you can tell me by creating a voice ID in the profile settings in the Alexa app or online. This way, I can address you by name in the future
For what purpose is my name collected?	From teckinhome.com: Examples of Personal Information collected: Name, Email; Purpose of collection: to provide customer support	We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers. You can create a voice ID, so Alexa can call you by name and do more to personalize your experience. When you create a voice ID, Alexa uses recordings of your voice to create an acoustic model of your voice characteristics and to update that model over time to improve Alexa’s ability to recognize you.	Your name is collected to give you a personalized and improved experience. You can also create a voice ID that allows Alexa to call you by your name. This can be managed in your Alexa profile settings online or in your Alexa app.	We collect your name to provide you with a more personalised experience. For example, we will use your name for our voice ID service that allows Alexa to call you by your name. You can also grant us permission to share your name with a skill developer for example if you're using a restaurant booking skill to make a reservation.	Your name is collected to provide you with a personal experience. You can further create a voice ID, so Alexa can call you by name		
Are you sharing my name?	"I am not sure who's speaking but you're in X account. To teach me to recognize you voice just say ""Learn my voice"""	We provide ad companies with information that allows them to serve you with more useful and relevant Amazon ads and to measure their effectiveness. We never share your name or other information that directly identifies you when we do this. Instead, we use an advertising identifier like a cookie, a device identifier, or a code derived from applying irreversible cryptography to other information like an email address. By default, we do not share your personal information with skill developers. You can choose to grant us permission to share additional information with a skill developer (such as your name and email address with a restaurant booking skill to make a reservation). You can see and manage the skills that you granted permission to access specific additional information through Settings > Alexa Privacy in the Alexa app and Echo Show devices or https://www.amazon.com/alexaprivacysettings.	By default, we keep all of your personal information, including your name, private and don't share it, unless you allow it. For example, if you choose to share your name and email with a restaurant booking skill for reservations, you can easily grant permission in the Privacy settings on the Alexa app or online.	By default, I do not share your personal data with skill developers. If you would like to grant this permission, check out Alexa privacy in Amazon setting.	We don't share your name except if you have granted us permission in the Alexa Privacy Settings. For example, you may choose to share your name with the skill developer of a restaurant booking skill, so that it can make a reservation on your name	We do not share your name, except if you have granted us permission. To see and manage the skills that you granted permission to, visit the Alexa privacy settings online or in your Alexa app	
For how long would my name be stored in the database?	Sorry, I don't know that.	We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfil the relevant purposes described in this Privacy Notice, as may be required by law such as for tax and accounting purposes, or as otherwise communicated to you.	At Amazon Alexa, we try to minimize the data we retain while still allowing Amazon to provide personalised services to our customers.	You can remove an Alexa Profile including your name at any time by visiting the Alexa Profile Settings. The account holder's profile cannot be removed.			
I want to change my name.	You can find and update my wake word in the Alexa app. Select the devices icon, select your device and then select Wake Word.	You can add or update certain information on pages such as those referenced in the Information You Can Access section. When you update information, we usually keep a copy of the previous version for our records.	Visit the Alexa Profile Settings on your Alexa App to edit information on your name.	You can manage your personal information under your profile in your Amazon settings.	You can manage your personal information in the profile settings on your Alexa App or in your Amazon account		
What does the privacy policy say in regards to saving my name?	Sorry, I don't know that one.	"You might supply us with such information as: identifying information such as your name, address, and phone numbers; You can access your information, including your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the ""Your Account"" section of the website. We provide ad companies with information that allows them to serve you with more useful and relevant Amazon ads and to measure their effectiveness. We never share your name or other information that directly identifies you when we do this. Instead, we use an advertising identifier like a cookie, a device identifier, or a code derived from applying irreversible cryptography to other information like an email address. "	To provide you with a personalized experience, we save your profile information, but rest assured that we do not share your personal information with others.	Our privacy policy states that you might supply us with your name by using our services. You can access this information at any time in your Amazon Account. We never share your name with Third-Party Advertising Services. Instead, we use advertising identifiers like a cookie to share information that allows them to serve you with more useful Amazon ads.			
Do you need to know my time zone?	This devices time zone is Central European Time.	We automatically collect and store certain types of information about your use of Amazon Services, including information about your interaction with products, content, and services available through Amazon Services. Examples of the information we collect and analyze include: version and time zone settings;	We collect your Time Zone automatically to provide you with a more effective experience.	When you interact with our products or services we might automatically receive information on your time zone. In addition, your device's location is used for providing time or weather information. You can change your location at any time by editing your device location on your Alexa App.			
Who has access to my time zone?	(City Name) is in Central European Summer Time.	Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others. Amazon Europe shares customers’ personal information only as described below and with Amazon.com, Inc. and the subsidiaries that Amazon.com, Inc. controls that are either subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice. 	Third-Party Service Providers may receive access to your time zone. In addition, transactions involving third parties, business transfers and protection of Amazon and others may involve sharing of your time zone. These third-party service providers have access to time zone information needed to perform their functions, but may not use it for other purposes.	Your time zone information is not sold to others. Access to your time zone information is limited to third-party service providers who need it to perform their functions such as fulfilling orders and delivering packages. It may also be disclosed in case of a business transfer. These third-party service providers have access to your time zone information needed to perform their functions, but may not use it for other purposes.	Time zone information of your account may be shared with third-party service providers. These third-party service providers have access to your time zone if needed to perform their functions, but may not use it for other purposes. In addition, transactions involving third parties, business transfers and protection of Amazon and others may involve sharing of your time zone		
Is the information on my time zone stored?	That's not supported yet.	We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfil the relevant purposes described in this Privacy Notice, as may be required by law such as for tax and accounting purposes, or as otherwise communicated to you.	To personalize your experience, we store the time zone information you have defined in your account.	To provide you with a personalized experience, we save your time zone.			
Can you delete information about my time zone?	"Sorry, I didn't find a group device named ""my"""	"You will also be able to opt out of certain other types of data processing by updating your settings on the applicable Amazon website (e.g., in ""Manage Your Content and Devices""), device, or application. For more information, click here. Most non-Amazon devices also provide users with the ability to change device permissions (e.g., disable/access location services, contacts). For most devices, these controls are located in the device's settings menu."	Your time zone can be a result of your current location settings and is used to personalize your experience. You can change your device's location at any time by selecting your device's location on your Alexa App.	You can change your device's location at any time by selecting your device's location on your Alexa App.			
